37.84.145.68 - - [03/Jul/2018:16:30:14 +0000] "PUT /categories/explore HTTP/1.1" 200 312 "http:"Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2013-10-15 09:24:06 Firefox/11.0"
173.175.131.173 - - [03/Jul/2018:16:30:14 +0000] "GET /category/explore/search HTTP/1.1" 200 789//www.byrd.net/wp-content/app/privacy/"  "http://clark-carpenter.info/about/" "Mozilla/5.0 (Windows NT 5.2; rw-RW; rv:1.9.2.20) Gecko/2018-03-21 09:34:48 Firefox/15.0"
26.207.111.99 - - [03/Jul/2018:16:30:15 +0000] "POST /explore/category HTTP/1.1" 200 476 "https://www.mercado.com/wp-content/categories/main/" "Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/3.1)"
239.227.237.31 - - [03/Jul/2018:16:30:15 +0000] "GET /list/posts/category HTTP/1.1" 401 259 "http://www.christensen.org/about.html" "Mozilla/5.0 (Macinthos; U; Intel Mac OS X 10_11_1 rv:2.0; iu-CA) AppleWebKit/532.9.7 (KHTML, like Gecko) Version/5.1 Safari/532.9.7"
239.185.82.113 - - [03/Jul/2018:16:30:16 +0000] "GET /search/tags/explore HTTP/1.1" 200 774 "http://www.page-chavez.com/author.html" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/5361 (KHTML, like Gecko) Chrome/46.0.853.0 Safari/5361"
251.115.238.139 - - [03/Jul/2018:16:30:16 +0000] "GET /tag HTTP/1.1" 200 461 "http://freeman.com/tags/login/" "Opera/8.60.(Windows NT 5.2; fil-PH) Presto/2.9.171 Version/10.00"
219.15.195.22 - - [03/Jul/2018:16:30:17 +0000] "GET /app/list HTTP/1.1" 400 552 "https://www.cruz.com/wp-content/index.htm" "Mozilla/5.0 (Windows NT 5.0) AppleWebKit/5361 (KHTML, like Gecko) Chrome/50.0.883.0 Safari/5361"
171.154.61.188 - - [03/Jul/2018:16:30:18 +0000] "GET /search/app HTTP/1.1" 400 67 "https://www.campbell-liu.biz/main/tag/terms.htm" "Mozilla/5.0 (Windows NT 6.1; sc-IT; rv:1.9.1.20) Gecko/2017-07-19 03:46:42 Firefox/13.0"
5.46.14.251 - - [03/Jul/2018:16:30:18 +0000] "POST /search HTTP/1.1" 200 202 "https://www.rice.net/post.html" "Opera/8.59.(Windows 95; nds-NL) Presto/2.9.180 Version/10.00"
224.144.73.26 - - [03/Jul/2018:16:30:19 +0000] "PUT /tags HTTP/1.1" 200 685 "https://www.phillips.com/faq.php" "Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; hu-HU) AppleWebKit/532.33.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6532.33.3"
167.66.249.221 - - [03/Jul/2018:16:30:19 +0000] "GET /main HTTP/1.1" 401 410 "http://white.info/about.jsp" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_5; rv:1.9.6.20) Gecko/2011-07-15 04:25:35 Firefox/3.8"
25.122.249.250 - - [03/Jul/2018:16:30:20 +0000] "PUT /category/blog HTTP/1.1" 401 907 "https://www.robinson-caldwell.org/" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_3; rv:1.9.3.20) Gecko/2012-01-13 20:36:46 Firefox/3.6.5"
50.113.254.97 - - [03/Jul/2018:16:30:20 +0000] "PUT /tag HTTP/1.1" 401 777 "http://jones.org/register.php" "Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/532.3.3 (KHTML, like Gecko) Version/4.0.4 Safari/532.3.3"
255.177.34.240 - - [03/Jul/2018:16:30:21 +0000] "PUT /search HTTP/1.1" 200 568 "https://www.santos.com/author/" "Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; hr-HR) AppleWebKit/534.7.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6534.7.1"
202.148.10.117 - - [03/Jul/2018:16:30:22 +0000] "POST /tag HTTP/1.1" 200 971 "http://ware.com/login/" "Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.0)"
